id;fold;val_score;representation
84;0;tensor(1.3574);[add, sub, div, 10, 5, sub, 10, 0, mul, tensor(1.2500), tanh, mul, 3, 2]
84;1;tensor(1.3567);[add, sub, div, 10, 5, sub, 10, 0, mul, tensor(1.2500), tanh, mul, 3, 2]
84;2;tensor(1.3574);[add, sub, div, 10, 5, sub, 10, 0, mul, tensor(1.2500), tanh, mul, 3, 2]
84;3;tensor(1.3639);[add, sub, div, 10, 5, sub, 10, 0, mul, tensor(1.2500), tanh, mul, 3, 2]
84;4;tensor(1.3730);[add, sub, div, 10, 5, sub, 10, 0, mul, tensor(1.2500), tanh, mul, 3, 2]
84;5;tensor(1.3802);[add, sub, div, 10, 5, sub, 10, 0, mul, tensor(1.2500), tanh, mul, 3, 2]
84;6;tensor(1.3943);[add, sub, div, 10, 5, sub, 10, 0, mul, tensor(1.2500), tanh, mul, 3, 2]
84;7;tensor(1.3708);[add, sub, div, 10, 5, sub, 10, 0, mul, tensor(1.2500), tanh, mul, 3, 2]
84;8;tensor(1.3473);[add, sub, div, 10, 5, sub, 10, 0, mul, tensor(1.2500), tanh, mul, 3, 2]
84;9;tensor(1.2932);[add, sub, div, 10, 5, sub, 10, 0, mul, tensor(1.2500), tanh, mul, 3, 2]
